fecha,Sucursal,bodega,sector,tipo,venta_bruta,venta_ajustes,venta_neta
2024-01-01,Barranquilla,4,Construction,historico,135870175.0,10495200.0,125374975.0
2024-01-01,Barranquilla,4,Empleados,historico,150428.0,0.0,150428.0
2024-01-01,Barranquilla,4,Equipo de Transporte,historico,6318607.0,0.0,6318607.0
2024-01-01,Barranquilla,4,Food,historico,295540024.58,5834840.0,289705184.58
2024-01-01,Barranquilla,4,Health/Social,historico,1617000.0,0.0,1617000.0
2024-01-01,Barranquilla,4,Hidrocarburo,historico,48238955.0,0.0,48238955.0
2024-01-01,Barranquilla,4,IT/Communication,historico,1623390.0,185200.0,1438190.0
2024-01-01,Barranquilla,4,Industria,historico,550327457.3,10570747.0,539756710.3
2024-01-01,Barranquilla,4,Madera y Papel,historico,23375831.0,1342900.0,22032931.0
2024-01-01,Barranquilla,4,Maquinaria y Afines,historico,103425427.0,1437290.0,101988137.0
2024-01-01,Barranquilla,4,Mining,historico,920677985.03,270398156.64,650279828.39
2024-01-01,Barranquilla,4,Persona Natural,historico,826413.26,0.0,826413.26
2024-01-01,Barranquilla,4,Quimico,historico,107272682.0,1723824.0,105548858.0
2024-01-01,Barranquilla,4,Servicios Publicos,historico,65039137.95,6596279.0,58442858.95
2024-01-01,Barranquilla,4,"Textiles, Confecciones y Cuero",historico,17062024.0,0.0,17062024.0
2024-01-01,Barranquilla,4,Transporte y Logistica,historico,51170462.0,251000.0,50919462.0
2024-01-01,Barranquilla,4,Turistico,historico,270000.0,0.0,270000.0
2024-01-01,Cartagena,5,0,historico,45472549.32,1166838.0,44305711.32
2024-01-01,Cartagena,5,Caucho y Plasticos,historico,1966383.0,0.0,1966383.0
2024-01-01,Cartagena,5,Comercio,historico,259264737.39,2369841.0,256894896.39
2024-01-01,Cartagena,5,Construction,historico,111543531.2,316408.0,111227123.2
2024-01-01,Cartagena,5,Empleados,historico,1172436.0,348552.0,823884.0
2024-01-01,Cartagena,5,Equipo de Transporte,historico,1504748.0,0.0,1504748.0
2024-01-01,Cartagena,5,Food,historico,169133664.75,3359688.0,165773976.75
2024-01-01,Cartagena,5,Health/Social,historico,3480211.0,0.0,3480211.0
2024-01-01,Cartagena,5,Hidrocarburo,historico,167968482.24,3730010.0,164238472.24
2024-01-01,Cartagena,5,IT/Communication,historico,318900.0,0.0,318900.0
2024-01-01,Cartagena,5,Industria,historico,304110228.48,532584.0,303577644.48
2024-01-01,Cartagena,5,Madera y Papel,historico,54184537.0,3655600.0,50528937.0
2024-01-01,Cartagena,5,Maquinaria y Afines,historico,46698395.5,1247160.0,45451235.5
2024-01-01,Cartagena,5,Mining,historico,119987229.0,108000.0,119879229.0
2024-01-01,Cartagena,5,Persona Natural,historico,1684058.0,0.0,1684058.0
2024-01-01,Cartagena,5,Quimico,historico,295976494.5,1969229.0,294007265.5
2024-01-01,Cartagena,5,Servicio de apoyo empresarial,historico,4881540.0,0.0,4881540.0
2024-01-01,Cartagena,5,Servicios Publicos,historico,98274987.0,11621370.0,86653617.0
2024-01-01,Cartagena,5,Transporte y Logistica,historico,106647191.0,275430.0,106371761.0
2024-01-01,Cartagena,5,Turistico,historico,4362792.0,0.0,4362792.0
2024-02-01,Medellín,1,0,historico,94917753.28,1913288.0,93004465.28
2024-02-01,Medellín,1,Agricultura,historico,87791734.0,0.0,87791734.0
2024-02-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,17202796.0,0.0,17202796.0
2024-02-01,Medellín,1,Caucho y Plasticos,historico,68485207.08,5389600.0,63095607.08
2024-02-01,Medellín,1,Comercio,historico,1309571128.74,43528252.0,1266042876.74
2024-02-01,Medellín,1,Construction,historico,644920280.58,79156666.0,565763614.58
2024-02-01,Medellín,1,Education,historico,1760750.0,0.0,1760750.0
2024-02-01,Medellín,1,Empleados,historico,1469206.0,354245.0,1114961.0
2024-02-01,Medellín,1,Equipo de Transporte,historico,26902035.05,9543785.0,17358250.05
2024-02-01,Medellín,1,Food,historico,921893631.38,149463445.96,772430185.42
2024-02-01,Medellín,1,Health/Social,historico,25661449.0,36000.0,25625449.0
2024-02-01,Medellín,1,Hidrocarburo,historico,156810681.28,515214.0,156295467.28
2024-02-01,Medellín,1,IT/Communication,historico,3761658.0,0.0,3761658.0
2024-02-01,Medellín,1,Industria,historico,825049409.55,16978775.0,808070634.55
2024-02-01,Medellín,1,Madera y Papel,historico,218447862.0,2702574.0,215745288.0
2024-02-01,Medellín,1,Maquinaria y Afines,historico,112187355.74,952188.0,111235167.74
2024-02-01,Medellín,1,Mining,historico,588456355.78,15802878.719999999,572653477.06
2024-02-01,Medellín,1,Persona Natural,historico,6116832.0,0.0,6116832.0
2024-02-01,Medellín,1,Quimico,historico,243027803.6,6863954.0,236163849.6
2024-02-01,Medellín,1,Servicio de apoyo empresarial,historico,33542514.0,0.0,33542514.0
2024-02-01,Medellín,1,Servicios Publicos,historico,139307390.0,7123401.0,132183989.0
2024-02-01,Medellín,1,"Textiles, Confecciones y Cuero",historico,83906283.0,720000.0,83186283.0
2024-02-01,Medellín,1,Transporte y Logistica,historico,165200493.0,711300.0,164489193.0
2024-02-01,Bogotá,2,0,historico,132907918.0,3247047.0,129660871.0
2024-02-01,Bogotá,2,Agricultura,historico,144343952.0,13037016.0,131306936.0
2024-02-01,Bogotá,2,Articulos Para el Hogar y la Oficina,historico,23085304.0,0.0,23085304.0
2024-02-01,Bogotá,2,Caucho y Plasticos,historico,21550674.0,1546132.0,20004542.0
2024-02-01,Bogotá,2,Comercio,historico,1997033912.36,79900363.94,1917133548.42
2024-02-01,Bogotá,2,Construction,historico,187600534.0,1702420.0,185898114.0
2024-02-01,Bogotá,2,Education,historico,300000.0,0.0,300000.0
2024-02-01,Bogotá,2,Empleados,historico,882344.0,0.0,882344.0
2024-02-01,Bogotá,2,Energy supply,historico,2075900.0,0.0,2075900.0
2024-02-01,Bogotá,2,Equipo de Transporte,historico,103789782.0,2633748.0,101156034.0
2024-02-01,Bogotá,2,Food,historico,1062156593.98,15821374.0,1046335219.98
2024-02-01,Bogotá,2,Health/Social,historico,12650828.0,110500.0,12540328.0
2024-02-01,Bogotá,2,Hidrocarburo,historico,247058576.75,46322558.0,200736018.75
2024-02-01,Bogotá,2,IT/Communication,historico,24479332.0,0.0,24479332.0
2024-02-01,Bogotá,2,Industria,historico,462262806.0,14136053.0,448126753.0
2024-02-01,Bogotá,2,Madera y Papel,historico,61578838.0,135848.0,61442990.0
2024-02-01,Bogotá,2,Maquinaria y Afines,historico,133804917.0,13428160.0,120376757.0
2024-02-01,Bogotá,2,Mining,historico,1382068546.0,3812193.0,1378256353.0
2024-02-01,Bogotá,2,Persona Natural,historico,5803381.0,0.0,5803381.0
2024-02-01,Bogotá,2,Quimico,historico,411236886.0,10966627.0,400270259.0
2024-02-01,Bogotá,2,Servicio de apoyo empresarial,historico,30143949.0,0.0,30143949.0
2024-02-01,Bogotá,2,Servicios Publicos,historico,202884021.0,540240.0,202343781.0
2024-02-01,Bogotá,2,"Textiles, Confecciones y Cuero",historico,29136650.0,1082320.0,28054330.0
2024-02-01,Bogotá,2,Transporte y Logistica,historico,67578111.0,2754000.0,64824111.0
2024-02-01,Bogotá,2,Turistico,historico,3481279.0,0.0,3481279.0
2024-02-01,Cali,3,0,historico,75641901.0,5482260.0,70159641.0
2024-02-01,Cali,3,Agricultura,historico,29926719.0,39216.0,29887503.0
2024-02-01,Cali,3,Articulos Para el Hogar y la Oficina,historico,534815.0,0.0,534815.0
2024-02-01,Cali,3,Caucho y Plasticos,historico,108730253.0,4321500.0,104408753.0
2024-02-01,Cali,3,Comercio,historico,620219287.54,7237111.0,612982176.54
2024-02-01,Cali,3,Construction,historico,10577712.0,579840.0,9997872.0
2024-02-01,Cali,3,Education,historico,6195165.0,0.0,6195165.0
2024-02-01,Cali,3,Empleados,historico,345208.0,198900.0,146308.0
2024-02-01,Cali,3,Equipo de Transporte,historico,62587607.0,0.0,62587607.0
2024-02-01,Cali,3,Food,historico,817119101.92,25056563.0,792062538.92
2024-02-01,Cali,3,Health/Social,historico,22611144.0,0.0,22611144.0
2024-02-01,Cali,3,Hidrocarburo,historico,37622580.0,0.0,37622580.0
2024-02-01,Cali,3,IT/Communication,historico,14381898.0,8109415.0,6272483.0
2024-02-01,Cali,3,Industria,historico,332409811.48,11328756.0,321081055.48
2024-02-01,Cali,3,Madera y Papel,historico,143989634.81,2036070.0,141953564.81
2024-02-01,Cali,3,Maquinaria y Afines,historico,56510112.0,9459562.0,47050550.0
2024-02-01,Cali,3,Mining,historico,124516202.0,1400000.0,123116202.0
2024-02-01,Cali,3,Persona Natural,historico,201890.0,0.0,201890.0
2024-02-01,Cali,3,Quimico,historico,437596603.9,1910389.0,435686214.9
2024-02-01,Cali,3,Servicio de apoyo empresarial,historico,3241981.0,0.0,3241981.0
2024-02-01,Cali,3,Servicios Publicos,historico,22699949.0,0.0,22699949.0
2024-02-01,Cali,3,"Textiles, Confecciones y Cuero",historico,23946320.0,0.0,23946320.0
2024-02-01,Cali,3,Transporte y Logistica,historico,35987125.0,0.0,35987125.0
2024-02-01,Cali,3,Turistico,historico,67680.0,0.0,67680.0
2024-02-01,Barranquilla,4,0,historico,71471034.12,2303360.0,69167674.12
2024-02-01,Barranquilla,4,Agricultura,historico,19320590.0,0.0,19320590.0
2024-02-01,Barranquilla,4,Articulos Para el Hogar y la Oficina,historico,4343956.0,0.0,4343956.0
2024-02-01,Barranquilla,4,Caucho y Plasticos,historico,43367583.0,0.0,43367583.0
2024-02-01,Barranquilla,4,Comercio,historico,436876742.86,10876346.0,426000396.86
2024-02-01,Barranquilla,4,Construction,historico,77484445.0,745800.0,76738645.0
2024-02-01,Barranquilla,4,Empleados,historico,55610.0,0.0,55610.0
2024-02-01,Barranquilla,4,Equipo de Transporte,historico,8661778.0,0.0,8661778.0
2024-02-01,Barranquilla,4,Food,historico,252194094.5,1010850.0,251183244.5
2024-02-01,Barranquilla,4,Health/Social,historico,1750500.0,0.0,1750500.0
2024-02-01,Barranquilla,4,Hidrocarburo,historico,36635780.0,0.0,36635780.0
2024-02-01,Barranquilla,4,IT/Communication,historico,149400.0,0.0,149400.0
2024-02-01,Barranquilla,4,Industria,historico,280734191.52,1207425.0,279526766.52
2024-02-01,Barranquilla,4,Madera y Papel,historico,28253982.0,0.0,28253982.0
2024-02-01,Barranquilla,4,Maquinaria y Afines,historico,110944033.0,3160800.0,107783233.0
2024-02-01,Barranquilla,4,Mining,historico,1188240592.15,5328180.0,1182912412.15
2024-02-01,Barranquilla,4,Persona Natural,historico,352383.76,51600.0,300783.76
2024-02-01,Barranquilla,4,Quimico,historico,158870495.5,8539157.0,150331338.5
2024-02-01,Barranquilla,4,Servicio de apoyo empresarial,historico,1932069.0,0.0,1932069.0
2024-02-01,Barranquilla,4,Servicios Publicos,historico,61680103.0,4830400.0,56849703.0
2024-02-01,Barranquilla,4,"Textiles, Confecciones y Cuero",historico,16172339.04,0.0,16172339.04
2024-02-01,Barranquilla,4,Transporte y Logistica,historico,35832536.0,99700.0,35732836.0
2024-02-01,Cartagena,5,0,historico,48105881.67,1226947.0,46878934.67
2024-02-01,Cartagena,5,Caucho y Plasticos,historico,1648765.0,0.0,1648765.0
2024-02-01,Cartagena,5,Comercio,historico,246493316.09,13114660.0,233378656.09
2024-02-01,Cartagena,5,Construction,historico,155166255.8,5483350.0,149682905.8
2024-02-01,Cartagena,5,Empleados,historico,607195.0,54297.0,552898.0
2024-02-01,Cartagena,5,Equipo de Transporte,historico,2189422.0,0.0,2189422.0
2024-02-01,Cartagena,5,Food,historico,159248932.14,3414130.0,155834802.14
2024-02-01,Cartagena,5,Health/Social,historico,10553905.0,0.0,10553905.0
2024-02-01,Cartagena,5,Hidrocarburo,historico,487076171.96,9333500.0,477742671.96
2024-02-01,Cartagena,5,Industria,historico,296104782.21,10905909.0,285198873.21
2024-02-01,Cartagena,5,Madera y Papel,historico,151518802.0,0.0,151518802.0
2024-02-01,Cartagena,5,Maquinaria y Afines,historico,23614365.5,181350.0,23433015.5
2024-02-01,Cartagena,5,Mining,historico,161192924.9,1363500.0,159829424.9
2024-02-01,Cartagena,5,Persona Natural,historico,1958548.08,22400.0,1936148.08
2024-02-01,Cartagena,5,Quimico,historico,328531570.5,6761164.0,321770406.5
2024-02-01,Cartagena,5,Servicio de apoyo empresarial,historico,21795088.0,0.0,21795088.0
2024-02-01,Cartagena,5,Servicios Publicos,historico,192251299.0,5576000.0,186675299.0
2024-02-01,Cartagena,5,Transporte y Logistica,historico,120912580.0,540250.0,120372330.0
2024-02-01,Cartagena,5,Turistico,historico,7649800.0,0.0,7649800.0
2024-03-01,Medellín,1,0,historico,99402495.58,4745083.0,94657412.58
2024-03-01,Medellín,1,Agricultura,historico,151561417.8,5325427.0,146235990.8
2024-03-01,Medellín,1,Articulos Para el Hogar y la Oficina,historico,37534120.0,448650.0,37085470.0
2024-03-01,Medellín,1,Caucho y Plasticos,historico,51486830.0,1467844.0,50018986.0
2024-03-01,Medellín,1,Comercio,historico,1423047182.01,461467318.0,961579864.01
2024-03-01,Medellín,1,Construction,historico,456864275.71,21995286.0,434868989.71
2024-03-01,Medellín,1,Education,historico,76000.0,0.0,76000.0
2024-03-01,Medellín,1,Empleados,historico,1376507.0,0.0,1376507.0
2024-03-01,Medellín,1,Equipo de Transporte,historico,10954690.0,32000.0,10922690.0
2024-03-01,Medellín,1,Food,historico,686889687.58,24103258.0,662786429.58
2024-03-01,Medellín,1,Health/Social,historico,16436161.0,0.0,16436161.0
2024-03-01,Medellín,1,Hidrocarburo,historico,191359868.91,9881564.0,181478304.91
2024-03-01,Medellín,1,IT/Communication,historico,1331554.0,0.0,1331554.0
2024-03-01,Medellín,1,Industria,historico,611908694.38,4311030.0,607597664.38
2024-03-01,Medellín,1,Madera y Papel,historico,76964489.0,1119960.0,75844529.0
2024-03-01,Medellín,1,Maquinaria y Afines,historico,71598247.34,1584363.0,70013884.34
2024-03-01,Medellín,1,Mining,historico,1104212149.96,6338037.0,1097874112.96
2024-03-01,Medellín,1,Persona Natural,historico,1615122.0,0.0,1615122.0
2024-03-01,Medellín,1,Quimico,historico,259346659.16,9831014.0,249515645.16
2024-03-01,Medellín,1,Servicio de apoyo empresarial,historico,28580650.0,0.0,28580650.0
2024-03-01,Medellín,1,Servicios Publicos,historico,116322022.0,10567754.0,105754268.0
2024-03-01,Medellín,1,"Textiles, Confecciones y Cuero",historico,57988211.6,0.0,57988211.6
2024-03-01,Medellín,1,Transporte y Logistica,historico,98396894.0,1130315.0,97266579.0
2024-03-01,Medellín,1,Turistico,historico,333000.0,0.0,333000.0
2024-03-01,Bogotá,2,0,historico,75108588.0,195230.0,74913358.0
2024-03-01,Bogotá,2,Agricultura,historico,212955167.0,26099464.0,186855703.0
2024-03-01,Bogotá,2,Articulos Para el Hogar y la Oficina,historico,75912494.0,1014000.0,74898494.0
2024-03-01,Bogotá,2,Caucho y Plasticos,historico,12337820.0,0.0,12337820.0
2024-03-01,Bogotá,2,Comercio,historico,1762723314.13,86365720.12,1676357594.01
2024-03-01,Bogotá,2,Construction,historico,239389269.0,1634710.0,237754559.0
2024-03-01,Bogotá,2,Education,historico,3277653.0,0.0,3277653.0
2024-03-01,Bogotá,2,Empleados,historico,664209.0,137148.0,527061.0
2024-03-01,Bogotá,2,Equipo de Transporte,historico,128934496.0,1014874.0,127919622.0
2024-03-01,Bogotá,2,Finance/Insurance,historico,247900.0,0.0,247900.0
2024-03-01,Bogotá,2,Food,historico,996642071.3,18381717.0,978260354.3
2024-03-01,Bogotá,2,Health/Social,historico,5184975.0,158864.0,5026111.0
2024-03-01,Bogotá,2,Hidrocarburo,historico,324937562.01,31896853.0,293040709.01
2024-03-01,Bogotá,2,IT/Communication,historico,2629562.0,0.0,2629562.0
2024-03-01,Bogotá,2,Industria,historico,480130882.0,37148276.0,442982606.0
2024-03-01,Bogotá,2,Madera y Papel,historico,68080853.0,3450240.0,64630613.0
2024-03-01,Bogotá,2,Maquinaria y Afines,historico,97452385.0,15216886.0,82235499.0
2024-03-01,Bogotá,2,Mining,historico,988412866.0,46274289.0,942138577.0
2024-03-01,Bogotá,2,Persona Natural,historico,797300.0,0.0,797300.0
2024-03-01,Bogotá,2,Quimico,historico,414294610.0,20406416.0,393888194.0
2024-03-01,Bogotá,2,Servicio de apoyo empresarial,historico,2037390.0,11430270.0,-9392880.0
2024-03-01,Bogotá,2,Servicios Publicos,historico,72853483.0,2065800.0,70787683.0
2024-03-01,Bogotá,2,"Textiles, Confecciones y Cuero",historico,28362555.0,0.0,28362555.0
2024-03-01,Bogotá,2,Transporte y Logistica,historico,62940244.0,5043450.0,57896794.0
2024-03-01,Bogotá,2,Turistico,historico,5309482.0,50000.0,5259482.0
2024-03-01,Cali,3,0,historico,46447386.3,2521693.0,43925693.3
2024-03-01,Cali,3,Agricultura,historico,19677967.0,0.0,19677967.0
2024-03-01,Cali,3,Articulos Para el Hogar y la Oficina,historico,34300919.0,0.0,34300919.0
2024-03-01,Cali,3,Caucho y Plasticos,historico,84949576.0,0.0,84949576.0
2024-03-01,Cali,3,Comercio,historico,417113625.76,9057005.0,408056620.76
2024-03-01,Cali,3,Construction,historico,10516579.0,0.0,10516579.0
2024-03-01,Cali,3,Education,historico,1015900.0,1290000.0,-274100.0
2024-03-01,Cali,3,Empleados,historico,225914.0,0.0,225914.0
2024-03-01,Cali,3,Equipo de Transporte,historico,71462410.0,0.0,71462410.0
2024-03-01,Cali,3,Food,historico,1040892594.08,16133490.5,1024759103.58
2024-03-01,Cali,3,Hidrocarburo,historico,10822592.0,326564.0,10496028.0
2024-03-01,Cali,3,IT/Communication,historico,17375759.0,0.0,17375759.0
2024-03-01,Cali,3,Industria,historico,208924613.75,1607920.0,207316693.75
2024-03-01,Cali,3,Madera y Papel,historico,123966729.23,0.0,123966729.23
2024-03-01,Cali,3,Maquinaria y Afines,historico,23107525.15,62000.0,23045525.15
2024-03-01,Cali,3,Mining,historico,118606447.0,1678800.0,116927647.0
2024-03-01,Cali,3,Persona Natural,historico,1073416.0,0.0,1073416.0
2024-03-01,Cali,3,Quimico,historico,359559948.34,10915000.0,348644948.34
2024-03-01,Cali,3,Servicio de apoyo empresarial,historico,789394.0,0.0,789394.0
2024-03-01,Cali,3,Servicios Publicos,historico,121226835.0,0.0,121226835.0
2024-03-01,Cali,3,"Textiles, Confecciones y Cuero",historico,25529290.0,0.0,25529290.0
2024-03-01,Cali,3,Transporte y Logistica,historico,6680077.0,526000.0,6154077.0
2024-03-01,Cali,3,Turistico,historico,67680.0,0.0,67680.0
2024-03-01,Barranquilla,4,0,historico,46101323.46,169920.0,45931403.46
2024-03-01,Barranquilla,4,Agricultura,historico,7479031.0,0.0,7479031.0
2024-03-01,Barranquilla,4,Articulos Para el Hogar y la Oficina,historico,13246270.0,317125.0,12929145.0
2024-03-01,Barranquilla,4,Caucho y Plasticos,historico,21933784.0,0.0,21933784.0
2024-03-01,Barranquilla,4,Comercio,historico,237568521.74,1025084.0,236543437.74
2024-03-01,Barranquilla,4,Construction,historico,183315063.0,3266280.0,180048783.0
2024-03-01,Barranquilla,4,Empleados,historico,145704.5,1294597.0,-1148892.5
2024-03-01,Barranquilla,4,Equipo de Transporte,historico,11608631.0,1095135.0,10513496.0
2024-03-01,Barranquilla,4,Food,historico,325017188.75,4036785.0,320980403.75
2024-03-01,Barranquilla,4,Health/Social,historico,662565.0,0.0,662565.0
2024-03-01,Barranquilla,4,Hidrocarburo,historico,71508435.0,0.0,71508435.0
2024-03-01,Barranquilla,4,Industria,historico,604991655.0,5452040.0,599539615.0
2024-03-01,Barranquilla,4,Madera y Papel,historico,38223686.0,0.0,38223686.0
2024-03-01,Barranquilla,4,Maquinaria y Afines,historico,101756894.2,1553614.0,100203280.2
2024-03-01,Barranquilla,4,Mining,historico,500342667.13,11029944.0,489312723.13
2024-03-01,Barranquilla,4,Persona Natural,historico,536860.0,0.0,536860.0
2024-03-01,Barranquilla,4,Quimico,historico,133976005.0,4351749.0,129624256.0
2024-03-01,Barranquilla,4,Servicio de apoyo empresarial,historico,3706860.0,0.0,3706860.0
2024-03-01,Barranquilla,4,Servicios Publicos,historico,94389476.0,4754530.0,89634946.0
2024-03-01,Barranquilla,4,"Textiles, Confecciones y Cuero",historico,22073722.0,1144800.0,20928922.0
2024-03-01,Barranquilla,4,Transporte y Logistica,historico,36515636.48,1273290.0,35242346.48
2024-03-01,Cartagena,5,0,historico,45965989.67,0.0,45965989.67
2024-03-01,Cartagena,5,Caucho y Plasticos,historico,995985.0,0.0,995985.0
2024-03-01,Cartagena,5,Comercio,historico,276521885.64,8461011.0,268060874.64
2024-03-01,Cartagena,5,Construction,historico,113330725.0,130900.0,113199825.0
2024-03-01,Cartagena,5,Empleados,historico,508210.0,68400.0,439810.0
2024-03-01,Cartagena,5,Equipo de Transporte,historico,4190000.0,0.0,4190000.0
2024-03-01,Cartagena,5,Food,historico,103649624.0,21423676.0,82225948.0
2024-03-01,Cartagena,5,Health/Social,historico,11587030.0,502710.0,11084320.0
2024-03-01,Cartagena,5,Hidrocarburo,historico,236799935.34,87740070.34,149059865.0
2024-03-01,Cartagena,5,IT/Communication,historico,25230.0,0.0,25230.0
2024-03-01,Cartagena,5,Industria,historico,229561541.46,19151402.0,210410139.46
2024-03-01,Cartagena,5,Madera y Papel,historico,156929276.0,7962455.0,148966821.0
