fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-03-01,Medellín,1,76,historico,126111997.0
2024-03-01,Medellín,1,80,historico,209307128.0
2024-03-01,Medellín,1,E,historico,568463819.01
2024-03-01,Bogotá,2,0605,historico,207818559.9
2024-03-01,Bogotá,2,07,historico,1564069896.12
2024-03-01,Bogotá,2,1301,historico,129574309.0
2024-03-01,Bogotá,2,14,historico,173093749.4
2024-03-01,Bogotá,2,15,historico,364490024.0
2024-03-01,Bogotá,2,1725,historico,231346187.0
2024-03-01,Bogotá,2,25,historico,874654024.02
2024-03-01,Bogotá,2,76,historico,146178541.0
2024-03-01,Bogotá,2,80,historico,239738140.25
2024-03-01,Bogotá,2,E,historico,361876013.82
2024-03-01,Cali,3,0605,historico,95693275.2
2024-03-01,Cali,3,07,historico,388333591.75
2024-03-01,Cali,3,1301,historico,112976030.16
2024-03-01,Cali,3,14,historico,46330732.14
2024-03-01,Cali,3,15,historico,129687487.0
2024-03-01,Cali,3,1725,historico,309290227.0
2024-03-01,Cali,3,25,historico,190698337.75
2024-03-01,Cali,3,76,historico,129973387.0
2024-03-01,Cali,3,80,historico,198058365.0
2024-03-01,Cali,3,E,historico,241414622.02
2024-03-01,Barranquilla,4,0605,historico,15774819.0
2024-03-01,Barranquilla,4,07,historico,308085496.0
2024-03-01,Barranquilla,4,1301,historico,28043954.4
2024-03-01,Barranquilla,4,14,historico,20600709.0
2024-03-01,Barranquilla,4,15,historico,112364539.0
2024-03-01,Barranquilla,4,1725,historico,67660053.0
2024-03-01,Barranquilla,4,25,historico,258196279.19
2024-03-01,Barranquilla,4,76,historico,61070972.0
2024-03-01,Barranquilla,4,80,historico,147810305.0
2024-03-01,Barranquilla,4,E,historico,351012274.89
2024-03-01,Cartagena,5,0605,historico,31151563.0
2024-03-01,Cartagena,5,07,historico,468436139.66
2024-03-01,Cartagena,5,1301,historico,47527603.0
2024-03-01,Cartagena,5,14,historico,65150981.0
2024-03-01,Cartagena,5,15,historico,89258391.0
2024-03-01,Cartagena,5,1725,historico,89022251.0
2024-03-01,Cartagena,5,25,historico,172186495.7
2024-03-01,Cartagena,5,76,historico,100973473.0
2024-03-01,Cartagena,5,80,historico,134866030.0
2024-03-01,Cartagena,5,E,historico,101612885.66
2024-04-01,Medellín,1,0605,historico,168591418.0
2024-04-01,Medellín,1,07,historico,1226325038.0
2024-04-01,Medellín,1,1301,historico,79584779.0
2024-04-01,Medellín,1,14,historico,84772597.68
2024-04-01,Medellín,1,15,historico,287438043.0
2024-04-01,Medellín,1,1725,historico,382464109.0
2024-04-01,Medellín,1,25,historico,518745566.6
2024-04-01,Medellín,1,76,historico,139325668.0
2024-04-01,Medellín,1,80,historico,295046241.0
2024-04-01,Medellín,1,E,historico,874664272.43
2024-04-01,Bogotá,2,0605,historico,254167865.57
2024-04-01,Bogotá,2,07,historico,2004931347.0
2024-04-01,Bogotá,2,1301,historico,176812892.0
2024-04-01,Bogotá,2,14,historico,296571451.0
2024-04-01,Bogotá,2,15,historico,399141170.0
2024-04-01,Bogotá,2,1725,historico,324641478.0
2024-04-01,Bogotá,2,25,historico,868055854.4
2024-04-01,Bogotá,2,76,historico,189196610.0
2024-04-01,Bogotá,2,80,historico,356844689.0
2024-04-01,Bogotá,2,E,historico,387583512.36
2024-04-01,Cali,3,0605,historico,84207106.0
2024-04-01,Cali,3,07,historico,550194581.4
2024-04-01,Cali,3,1301,historico,124692878.94
2024-04-01,Cali,3,14,historico,53232551.96
2024-04-01,Cali,3,15,historico,124752386.0
2024-04-01,Cali,3,1725,historico,171012104.0
2024-04-01,Cali,3,25,historico,233954754.89000002
2024-04-01,Cali,3,76,historico,140183576.0
2024-04-01,Cali,3,80,historico,294169682.89
2024-04-01,Cali,3,E,historico,419094500.26
2024-04-01,Barranquilla,4,0605,historico,26007292.0
2024-04-01,Barranquilla,4,07,historico,400708591.4
2024-04-01,Barranquilla,4,1301,historico,66320236.85
2024-04-01,Barranquilla,4,14,historico,83335317.88
2024-04-01,Barranquilla,4,15,historico,364751349.0
2024-04-01,Barranquilla,4,1725,historico,108836149.0
2024-04-01,Barranquilla,4,25,historico,576904170.5699999
2024-04-01,Barranquilla,4,76,historico,47433689.0
2024-04-01,Barranquilla,4,80,historico,115734237.15
2024-04-01,Barranquilla,4,E,historico,406545417.67
2024-04-01,Cartagena,5,0605,historico,34794271.0
2024-04-01,Cartagena,5,07,historico,493792672.66
2024-04-01,Cartagena,5,1301,historico,298812458.7
2024-04-01,Cartagena,5,14,historico,58104994.0
2024-04-01,Cartagena,5,15,historico,111856518.0
2024-04-01,Cartagena,5,1725,historico,127360332.0
2024-04-01,Cartagena,5,25,historico,261315291.0
2024-04-01,Cartagena,5,76,historico,80393606.0
2024-04-01,Cartagena,5,80,historico,201402479.0
2024-04-01,Cartagena,5,E,historico,208225008.52
2024-05-01,Medellín,1,0605,historico,125826396.0
2024-05-01,Medellín,1,07,historico,1239014654.7
2024-05-01,Medellín,1,1301,historico,143621518.04
2024-05-01,Medellín,1,14,historico,246711400.69
2024-05-01,Medellín,1,15,historico,276591473.0
2024-05-01,Medellín,1,1725,historico,174739102.0
2024-05-01,Medellín,1,25,historico,590422300.44
2024-05-01,Medellín,1,76,historico,115668127.0
2024-05-01,Medellín,1,80,historico,341801274.0
2024-05-01,Medellín,1,E,historico,669068733.3
2024-05-01,Bogotá,2,0605,historico,259950066.54
2024-05-01,Bogotá,2,07,historico,1822091963.78
2024-05-01,Bogotá,2,1301,historico,179270262.0
2024-05-01,Bogotá,2,14,historico,232990225.0
2024-05-01,Bogotá,2,15,historico,374716627.0
2024-05-01,Bogotá,2,1725,historico,303415371.0
2024-05-01,Bogotá,2,25,historico,778799018.8
2024-05-01,Bogotá,2,76,historico,147234275.0
2024-05-01,Bogotá,2,80,historico,275017806.88
2024-05-01,Bogotá,2,E,historico,504418574.09
2024-05-01,Cali,3,0605,historico,100097128.0
2024-05-01,Cali,3,07,historico,579663230.05
2024-05-01,Cali,3,1301,historico,87815389.04
2024-05-01,Cali,3,14,historico,40383905.24
2024-05-01,Cali,3,15,historico,146478138.0
2024-05-01,Cali,3,1725,historico,109073420.0
2024-05-01,Cali,3,25,historico,227261684.91
2024-05-01,Cali,3,76,historico,112046121.0
2024-05-01,Cali,3,80,historico,235707867.0
2024-05-01,Cali,3,E,historico,354175180.78
2024-05-01,Barranquilla,4,0605,historico,40865990.0
2024-05-01,Barranquilla,4,07,historico,336523479.0
2024-05-01,Barranquilla,4,1301,historico,148805444.0
2024-05-01,Barranquilla,4,14,historico,57185533.0
2024-05-01,Barranquilla,4,15,historico,262214230.0
2024-05-01,Barranquilla,4,1725,historico,40816351.0
2024-05-01,Barranquilla,4,25,historico,360137287.07
2024-05-01,Barranquilla,4,76,historico,34235203.0
2024-05-01,Barranquilla,4,80,historico,113606204.0
2024-05-01,Barranquilla,4,E,historico,390259110.05
